University
Savitribai Phule Pune University
Bharati Vidyapeeth Deemed University
MIT World Peace University (MIT-WPU)
COEP Technological University
Fergusson College
Dr. D. Y. Patil Institute of Technology
St. Mira's College For Girls
"Modern College of Arts, Science and Commerce"
Maharashtra Institute of Technology
Tilak Maharashtra Vidyapeeth
Vishwakarma Institute of Technology
Ajeenkya DY Patil University
Symbiosis International University
Army Institute of Technology
Brihan Maharashtra College of Commerce
"Bharati Vidyapeeth (Deemed to be University) College of Engineering, Pune"
PCCOE - Pimpri Chinchwad College Of Engineering
SCTR'S Pune Institute of Computer Technology
"BRACT's, Vishwakarma Institute of Information Technology"
Ness Wadia College of Commerce
Symbiosis Institute of Computer Studies and Research
"Dr. D. Y. Patil Vidyapeeth, Pune"
P.E.S. Modern College of Engineering
Defence Institute Of Advanced Technology
Marathwada Mitra Mandal's College of Engineering
Armed Forces Medical College Pune
D. Y. Patil International University
Abasaheb Garware College
MMCC(Marathwada Mitra Mandal's College of Commerce)
BYRAMJEE JEEJEEBHOY GOVERNMENT MEDICAL COLLEGE
"Indian Institute of Information Technology, Pune"
Symbiosis Centre for Management and Human Resource Development
MKSSS's Cummins College of Engineering For Women
Sinhgad College of Engineering
AISSMS College of Engineering
Vishwakarma University
"MIT Art, Design & Technology University"
"Dr. D. Y. Patil Medical College, Hospital & Research Centre"
Poona College of Pharmacy
Department of Management Sciences
Sir Parashurambhau College
"Poona College of Arts, Science and Commerce"
Symbiosis Institute of Business Management Pune
Symbiosis Institute of Media & Communication AND Symbiosis Institute of Telecom Management
Symbiosis Law School
ILS Law College
GS Moze College Of Engineering BALEWADI PUNE
Jayawantrao Sawant College of Engineering
FLAME University
Sinhgad college of commerce
COLLEGE/UNIVERSITY
University of Kota
"Rajasthan Technical University, Kota"
"Maharishi Arvind International Institute of Technology, Kota"
Modi Institute of Management & Technology
Om Kotari Institute of Management & Research
Vardhman Mahaveer Open University
